label,n_samples,peak_mag_g,ax_mean,ax_std,ax_min,ax_max,ay_mean,ay_std,ay_min,ay_max,az_mean,az_std,az_min,az_max,gx_mean,gx_std,gx_min,gx_max,gy_mean,gy_std,gy_min,gy_max,gz_mean,gz_std,gz_min,gz_max
still,101,8.99473108792828,-0.6578237623762376,0.8797824298039744,-3.8396,0.5359,1.0599188118811882,2.277234665450028,-1.6387,7.9998,-1.3974237623762378,2.3780693904451113,-8.0,2.8547,-171.77173267326734,423.10424139440914,-1024.0,316.562,-7.453247524752475,115.48762050389472,-291.312,333.188,75.23728712871288,123.11640868178269,-79.562,429.312
still,102,0.5689963097470943,-0.4281960784313726,0.31642166856516396,-0.8687,0.0186,-0.35190392156862743,0.13625489300195515,-0.696,-0.1902,-0.16261470588235294,0.8327573587241528,-1.1897,0.9666,283.27179411764706,122.91386930814907,101.312,492.5,-1.1770980392156862,30.103145758199556,-69.812,62.719,-96.74479411764705,45.68725268527536,-169.125,-30.094
still,76,6.753861935835587,-0.6627078947368421,1.1583338329781634,-3.4534,0.3171,0.8053960526315789,1.9146207924973984,-0.7854,5.5366,-0.3634907894736842,2.2296035192842334,-7.3508,1.1584,-225.66530263157892,433.89329194251326,-1024.0,99.844,150.4900657894737,132.28569373581834,3.438,452.719,95.49381578947369,192.14721864016215,-116.719,508.188
still,101,0.5879761270245847,-0.9798504950495049,0.13692154190765157,-1.1841,-0.5544,-0.15476732673267327,0.09768090007462203,-0.4473,-0.0496,-0.4945277227722772,0.23359548395150326,-1.3403,-0.2483,53.10392079207921,71.2731622249096,-151.281,172.531,-16.444940594059407,37.336730377519665,-92.688,53.406,-53.46378217821782,54.06013026354052,-206.844,27.469
still,104,0.06394221647606413,-0.16264423076923076,0.3353684637904666,-0.9082,0.2568,-0.4955605769230769,0.08942615391211518,-0.6631,-0.2834,0.47643653846153844,0.42382333403510614,-0.4521,0.8989,175.29807692307693,90.64937906918446,25.375,322.625,-4.216903846153846,43.6998806842499,-98.156,80.219,-107.05771153846155,75.79487401034262,-223.281,3.594
still,73,7.037009747412279,-0.6092602739726027,0.9020654070292403,-2.5823,0.6501,0.2265219178082192,1.1242736636391009,-0.5996,6.4341,-0.9491917808219178,2.1136833200521528,-6.8533,1.1223,-86.97005479452055,285.70271631803547,-1024.0,69.438,105.98027397260275,140.15427411750377,-95.781,445.562,37.19738356164384,102.59048547857444,-44.125,645.25
still,104,0.3191534709805377,-0.7663307692307693,0.14524582416672027,-0.9502,-0.3032,-0.32689807692307693,0.2002579038970119,-0.6262,0.0078,-0.4280278846153846,0.36091170198026884,-0.915,0.437,178.3648076923077,76.58003816710041,39.562,306.719,-37.633153846153846,34.56233651338973,-91.844,25.062,-97.16226923076923,28.996502935112304,-159.125,-48.094
still,68,2.2531631821966753,0.12608529411764707,0.45252047606083556,-0.3704,1.1492,0.05872205882352941,0.6867246136222181,-0.4512,2.4106,0.9833897058823531,0.3245864555090269,0.4727,2.0093,98.4466911764706,150.8829747900921,-354.219,297.25,23.850676470588237,59.03236534967645,-28.0,194.969,-14.95864705882353,122.99040095216957,-128.844,434.281
still,84,0.7722217976314365,-0.7752583333333334,0.13427155870911234,-1.0811,-0.3982,-0.08092380952380952,0.09773264749042425,-0.2043,0.6448,-0.7620571428571429,0.23962478222943343,-1.5974,-0.4177,45.47845238095238,43.0251302284642,-56.625,235.375,-13.386940476190475,41.78441085054819,-97.25,179.656,-14.561416666666668,18.0400381415289,-57.688,24.406
still,102,0.2682367681154809,-0.6019225490196078,0.21686218670149363,-0.9128,-0.3274,-0.3748441176470588,0.12095340585104064,-0.5808,-0.21,0.04688725490196078,0.6767376455584496,-0.7324,0.9387,245.52418627450982,116.38563514284122,78.875,440.75,-16.170666666666666,23.979614048364013,-70.938,48.656,-86.15748039215687,37.654026168273006,-150.219,-10.781
